날짜,평일/주말,평군온도,풍속,풍향,강수량,미세먼지농도,초미세먼지농도,이용건수
2022-01-03,0,250,-1.9,1.8,0,27,17,4356
2022-01-04,0,250,-2.5,2.4,0,31,19,4474
2022-01-05,0,50,-2.8,1.7,0,48,30,4665
2022-01-06,0,290,-2.2,2.3,0,51,33,4768
2022-01-07,0,250,-1.6,1.5,0,58,41,4836
2022-01-08,1,200,0.3,1.7,0,52,40,3306
2022-01-09,1,270,1.3,1.7,0,109,92,2724
2022-01-10,0,250,0.5,2,0.0051,83,72,4894
2022-01-11,0,290,-7.4,4,0.0011,29,19,3092
2022-01-12,0,290,-7.7,2.4,0,28,17,3647
2022-01-13,0,270,-6.4,3.3,0,31,13,3577
2022-01-14,0,180,-4.8,1.7,0,28,15,4040
2022-01-15,1,50,-1,1.9,0,43,27,3038
2022-01-16,1,250,-2,3.3,0,40,26,2445
2022-01-17,0,270,-5.8,2.2,0.0028,24,14,2892
2022-01-18,0,290,-5.6,2.3,0,35,20,3636
2022-01-19,0,320,-5.3,2.1,0.0096,43,32,2316
2022-01-20,0,320,-5,1.8,0,37,28,3539
2022-01-21,0,50,-2.7,1.8,0,37,27,4253
2022-01-22,1,290,0.3,1.7,0,54,43,3279
2022-01-23,1,250,2,1.7,0,62,47,3204
2022-01-24,0,70,4.6,3.5,0,26,17,5248
2022-01-25,0,270,2.8,2.3,0.004,29,19,4150
2022-01-26,0,320,1.3,2.2,0,55,43,5183
2022-01-27,0,290,-1.1,2.1,0,58,44,4918
2022-01-28,0,290,-2.7,2.8,0,33,20,4525
2022-01-29,1,320,-3.6,2.4,0,28,17,2507
2022-01-30,1,270,-2.8,2.2,0,31,18,2031
2022-01-31,1,250,-0.7,1.9,0.0068,29,20,1983
2022-02-01,1,270,-1.3,2.6,0.0096,41,35,894
2022-02-02,1,250,-3.4,2.4,0,29,23,2082
2022-02-03,0,270,-3.4,2.4,0,22,14,3735
2022-02-04,0,290,-5.2,3.1,0,22,13,3676
2022-02-05,1,270,-6.6,3.1,0,26,10,2214
2022-02-06,1,290,-3.9,2.5,0,22,11,2299
2022-02-07,0,290,-2.5,1.8,0,25,14,4354
2022-02-08,0,290,-0.1,1.9,0,27,18,4886
2022-02-09,0,290,1,1.8,0,35,24,5189
2022-02-10,0,320,1.4,2.3,0,47,34,5370
2022-02-11,0,250,2.9,1.8,0,79,66,5546
2022-02-12,1,270,4.8,1.7,0,85,71,4445
2022-02-13,1,320,4.8,1.8,0,57,42,4171
2022-02-14,0,270,2.5,2.9,0.0096,41,32,3805
2022-02-15,0,270,-4.7,3.8,0,33,23,3849
2022-02-16,0,270,-7.3,3.7,0,27,20,3473
2022-02-17,0,290,-6.2,2.5,0,29,19,3747
2022-02-18,0,270,-1.2,2,0,41,28,4634
2022-02-19,1,290,-1.7,2.9,0.0006,42,31,2645
2022-02-20,1,290,-4.8,4.1,0,28,14,2146
2022-02-21,0,270,-3,2.9,0.0006,26,14,4019
2022-02-22,0,320,-4.5,3.2,0,29,15,3951
2022-02-23,0,290,-5.6,2.6,0,26,13,3823
2022-02-24,0,320,-2.4,2.2,0,27,16,4327
2022-02-25,0,250,3,2.3,0,62,48,5009
2022-02-26,1,290,5.4,3.9,0.0062,64,45,2740
2022-02-27,1,250,3.7,2.8,0,43,22,4304
2022-02-28,0,200,6.8,1.5,0,39,17,6014
2022-03-01,1,250,5.8,2.3,0.0131,35,22,3736
2022-03-02,0,230,3.5,2.7,0,27,14,5809
2022-03-03,0,290,5.8,2.1,0,46,25,6389
2022-03-04,0,180,6.9,3.6,0,76,35,5996
2022-03-05,1,250,2.3,4.3,0,90,15,4277
2022-03-06,1,320,1.4,2.6,0,38,8,4002
2022-03-07,0,270,2.8,2,0,39,19,5835
2022-03-08,0,270,6,2,0,45,23,6657
2022-03-09,1,250,7.1,1.9,0,63,38,7437
2022-03-10,0,200,9.3,2.1,0,71,48,7105
2022-03-11,0,180,11.2,1.9,0,69,40,8057
2022-03-12,1,180,12.8,2.7,0.0148,67,42,6476
2022-03-13,1,320,11.7,1.9,0.2389,15,11,2991
2022-03-14,0,250,8.2,3.2,0.0494,17,11,3827
2022-03-15,0,250,7.2,2,0,42,33,7182
2022-03-16,0,290,10.3,2.1,0,62,40,7873
2022-03-17,0,50,10.7,2.7,0.0068,51,28,6275
2022-03-18,0,50,7.5,4.4,0,10,4,6305
2022-03-19,1,50,3.4,3,0.0829,7,3,2506
2022-03-20,1,230,5.4,2.6,0,23,17,5190
2022-03-21,0,320,5,2.4,0,27,16,6884
2022-03-22,0,270,7.1,2.2,0,35,25,7674
2022-03-23,0,250,6.2,2.3,0,32,20,6741
2022-03-24,0,200,8.2,1.8,0,40,27,7358
2022-03-25,0,50,12,2.6,0.0619,67,49,6351
2022-03-26,1,230,11.8,2.9,0.1124,10,6,4974
2022-03-27,1,320,8.1,3,0,28,12,7043
2022-03-28,0,270,8.2,2.1,0,29,13,8540
2022-03-29,0,270,9.7,2.1,0,34,16,9295
2022-03-30,0,50,10.8,1.8,0.0023,34,16,6935
2022-03-31,0,340,10.9,2.5,0,19,9,8881
2022-04-01,0,270,9.2,2.6,0,15,8,9551
2022-04-02,1,270,8.2,2.3,0,29,18,9374
2022-04-03,1,270,9.6,2.1,0,42,29,10271
2022-04-04,0,250,10.3,2.3,0,51,38,10052
2022-04-05,0,200,10.3,2.4,0,40,27,10388
2022-04-06,0,270,11.7,2.5,0,46,25,10982
2022-04-07,0,200,10.9,3.3,0,31,10,10801
2022-04-08,0,200,12.9,2.1,0,42,19,13461
2022-04-09,1,200,17.8,3,0.0028,44,21,15233
2022-04-10,1,270,18.2,2,0,37,19,15690
2022-04-11,0,230,19.6,2.4,0,34,18,14319
2022-04-12,0,290,19.3,2.8,0.0028,27,15,9915
2022-04-13,0,50,13.1,4.4,0.0074,17,8,7579
2022-04-14,0,50,13.2,4,0,14,6,9794
2022-04-15,0,290,13.3,3,0,19,8,11432
2022-04-16,1,270,13.2,2.5,0,34,19,11011
2022-04-17,1,270,14,2.3,0,48,28,11070
2022-04-18,0,250,15.2,2.4,0,54,33,11384
2022-04-19,0,250,15.2,2.4,0,60,37,11272
2022-04-20,0,230,15.7,2.3,0,62,43,12175
2022-04-21,0,200,16.3,2.8,0,46,27,11662
2022-04-22,0,230,15,3.5,0,48,23,9689
2022-04-23,1,110,17.7,1.7,0,53,35,11801
2022-04-24,1,270,18.5,2.3,0.0017,51,32,10844
2022-04-25,0,110,20,1.4,0.0074,51,33,10952
2022-04-26,0,290,21.9,3.1,0.0057,43,24,12338
2022-04-27,0,320,17.7,2.7,0,128,19,12668
2022-04-28,0,50,18.2,2.6,0,60,17,12532
2022-04-29,0,50,13.4,3.4,0.088,13,4,8729
2022-04-30,1,270,13,2.9,0,14,7,9733
2022-05-01,1,230,13.4,3.1,0,32,12,10079
2022-05-02,0,250,14.2,2.4,0,42,20,12546
2022-05-03,0,180,14.8,2.5,0,33,19,13047
2022-05-04,0,230,17.8,2.7,0,32,17,14193
2022-05-05,1,270,18.9,2.2,0,32,16,13621
2022-05-06,0,200,19.6,2.5,0,33,20,14340
2022-05-07,1,290,18.4,3,0.0028,26,13,11109
2022-05-08,1,50,15.3,2.8,0.0114,20,9,6433
2022-05-09,0,110,17.9,2.2,0,16,7,13680
2022-05-10,0,160,19.9,2.2,0,24,14,14100
2022-05-11,0,230,19.7,2.4,0,26,14,13682
2022-05-12,0,250,20.9,1.9,0,30,14,13691
2022-05-13,0,290,19.4,2.2,0,29,14,14090
2022-05-14,1,270,15.7,3.3,0,29,11,11588
2022-05-15,1,270,16.2,3.2,0,21,9,11734
2022-05-16,0,230,17.3,2.8,0,28,12,13964
2022-05-17,0,180,20,2.4,0,44,26,13830
2022-05-18,0,200,20,2.9,0.0085,53,34,11244
2022-05-19,0,180,19.9,3,0,40,21,13324
2022-05-20,0,270,20.6,2.3,0,33,22,13830
2022-05-21,1,270,20.1,2.5,0,30,20,12469
2022-05-22,1,180,20.3,2.5,0,34,23,11935
2022-05-23,0,250,23,2.3,0,61,43,13415
2022-05-24,0,250,22.9,2.1,0,28,17,13862
2022-05-25,0,270,21,2.6,0.0199,25,15,10601
2022-05-26,0,200,18.7,3.7,0,21,8,13460
2022-05-27,0,270,20,3.3,0,23,10,14408
2022-05-28,1,230,22.3,2.8,0,33,19,13014
2022-05-29,1,270,23.1,2.3,0,29,21,11987
2022-05-30,0,250,20.8,2.5,0,25,17,12820
2022-05-31,0,230,20.7,2.5,0,24,8,14674
2022-06-01,1,270,22.1,2.6,0,22,9,13903
2022-06-02,0,270,21.5,2.7,0,25,14,14051
2022-06-03,0,250,24.5,2,0,35,22,14397
2022-06-04,1,180,25.6,1.7,0,35,20,12173
2022-06-05,1,110,22.7,2.3,0,25,16,9961
2022-06-06,1,50,19.7,3.2,0.0244,10,5,11259
2022-06-07,0,50,20.6,2.7,0,8,3,14247
2022-06-08,0,270,21.2,2.3,0,17,9,14666
2022-06-09,0,290,20.9,1.6,0.0148,23,11,11886
2022-06-10,0,290,20.9,1.9,0.0068,26,16,12241
2022-06-11,1,20,24.6,2.2,0,23,13,12334
2022-06-12,1,250,24.6,2.5,0,22,15,11790
2022-06-13,0,360,23.6,2.6,0.1022,28,18,13997
2022-06-14,0,50,21.5,4.2,0,16,7,13504
2022-06-15,0,70,17.5,2.3,0.105,13,7,6545
2022-06-16,0,200,20.3,2.3,0.004,16,8,12012
2022-06-17,0,180,22.5,1.9,0,31,20,14071
2022-06-18,1,290,23.3,1.7,0,19,9,11286
2022-06-19,1,180,23.4,1.4,0,22,13,10980
2022-06-20,0,270,25.2,1.3,0,20,12,14131
2022-06-21,0,270,26.5,2,0,20,10,14334
2022-06-22,0,290,25.9,2.1,0,23,14,14705
2022-06-23,0,200,24.3,2.8,0.5846,29,20,4112
2022-06-24,0,230,22.6,3.5,0.1084,19,13,12490
2022-06-25,1,230,26,2.8,0,43,32,10939
2022-06-26,1,180,26.5,2.6,0,23,13,9246
2022-06-27,0,200,26.8,2.8,0.0346,13,5,8155
2022-06-28,0,200,26.9,5.8,0.0358,18,6,9134
2022-06-29,0,200,25.1,4.1,0.2145,16,6,4408
2022-06-30,0,50,22.3,2.3,1,8,5,743
2022-07-01,0,230,26.6,2.1,0,17,7,12993
2022-07-02,1,270,28.8,1.7,0,26,15,10294
2022-07-03,1,270,29.3,1.7,0,36,29,9262
2022-07-04,0,340,29.3,1.8,0,33,25,12580
2022-07-05,0,320,29.2,1.7,0,42,32,12295
2022-07-06,0,250,29.5,2.1,0.0914,35,27,11424
2022-07-07,0,180,28.2,2.8,0,20,11,9204
2022-07-08,0,230,25.8,2.9,0.0096,24,17,11926
2022-07-09,1,250,26.9,1.7,0.0006,23,16,10296
2022-07-10,1,290,29.2,1.7,0,45,30,9066
2022-07-11,0,270,27,1.8,0.0511,27,19,12127
2022-07-12,0,50,26.8,2.2,0,14,6,13218
2022-07-13,0,140,25,1.8,0.6498,18,11,1447
2022-07-14,0,270,25.7,2.3,0.0051,12,7,11984
2022-07-15,0,250,26,2.3,0,23,13,13583
2022-07-16,1,160,24.8,2,0.193,26,17,10453
2022-07-17,1,270,25.5,1.8,0,22,16,10505
2022-07-18,0,110,26.8,2.2,0,26,18,13495
2022-07-19,0,270,27.4,2.3,0,32,23,13423
2022-07-20,0,290,27.1,2.2,0.0062,31,21,11714
2022-07-21,0,50,23.2,2.9,0.059,14,8,8461
2022-07-22,0,250,25.1,1.9,0.0295,28,21,12131
2022-07-23,1,50,24.8,2,0.0562,40,30,5657
2022-07-24,1,320,25,2.1,0.0068,18,12,8725
2022-07-25,0,270,27.5,1.9,0,16,8,12174
2022-07-26,0,320,28.9,1.8,0,32,22,12973
2022-07-27,0,160,29.3,2,0,36,26,12892
2022-07-28,0,140,29.7,2.4,0,26,19,12285
2022-07-29,0,320,30.7,2.2,0,26,18,12084
2022-07-30,1,160,30.9,2.6,0.0057,21,13,8255
2022-07-31,1,50,27.2,2.5,0.2679,13,8,2476
2022-08-01,0,70,28.6,2.4,0.1703,16,9,8812
2022-08-02,0,200,26.8,2.8,0.1901,14,7,4768
2022-08-03,0,230,27.1,2.8,0.29,22,17,8709
2022-08-04,0,270,28.9,2.5,0,17,10,11911
2022-08-05,0,270,29.4,2.6,0,19,11,11853
2022-08-06,1,270,28.7,1.7,0.0772,32,22,7615
2022-08-07,1,180,28.9,2.4,0.0051,28,18,7364
2022-08-08,0,200,26.8,3.3,0.7355,23,13,1609
2022-08-09,0,180,25.1,2.6,0.6986,11,5,31
2022-08-10,0,180,24.7,1.6,0.0431,15,6,9299
2022-08-11,0,200,25,1.6,0.2202,15,10,8560
2022-08-12,0,250,27,1.7,0,24,15,11784
2022-08-13,1,180,25.8,1.3,0.0227,29,19,5985
2022-08-14,1,180,27.6,1.9,0.017,22,16,6449
2022-08-15,1,200,28.1,4.8,0.0051,26,11,6295
2022-08-16,0,250,26.7,2.6,0,23,13,13090
2022-08-17,0,290,26,2,0,26,16,13349
2022-08-18,0,270,25.6,1.9,0,24,15,13342
2022-08-19,0,200,26,2.3,0.3751,24,14,7066
2022-08-20,1,270,28.2,2.4,0,26,16,9572
2022-08-21,1,250,28.1,1.7,0,25,15,9867
2022-08-22,0,200,26.8,2.3,0.0182,25,16,12647
2022-08-23,0,320,25.4,2,0.0125,18,9,12805
2022-08-24,0,50,24.8,2.5,0,21,10,14481
2022-08-25,0,250,22.2,1.8,0.0091,17,7,11273
2022-08-26,0,270,23.8,2.4,0,31,21,14916
2022-08-27,1,290,21.5,2.8,0.0999,20,10,14430
2022-08-28,1,50,22.6,1.7,0,17,8,13858
2022-08-29,0,50,21,2.3,0.0125,16,9,8728
2022-08-30,0,50,19.1,2.6,0.2032,10,5,1198
2022-08-31,0,340,21.7,1.8,0,12,4,14084
2022-09-01,0,320,24,1.7,0,18,10,14605
2022-09-02,0,50,24.7,3.1,0,20,9,15524
2022-09-03,1,50,24.2,3.4,0,16,8,13870
2022-09-04,1,50,22.3,3.1,0.1918,11,5,3081
2022-09-05,0,50,19.2,3.2,0.681,7,3,428
2022-09-06,0,50,21,3.6,0.1436,12,5,11431
2022-09-07,0,250,22.8,1.9,0,29,14,14875
2022-09-08,0,320,23.2,1.6,0,29,14,15261
2022-09-09,1,50,24.3,2,0,20,11,9527
2022-09-10,1,50,23.6,2.6,0,11,6,8413
2022-09-11,1,50,23.3,2.1,0.0006,21,12,8689
2022-09-12,1,320,23.8,1.6,0,22,13,12559
2022-09-13,0,50,24.3,2.5,0,23,14,13866
2022-09-14,0,50,24.6,4.6,0,19,10,14766
2022-09-15,0,50,25.2,3.6,0.0006,23,11,15269
2022-09-16,0,110,25.7,2.9,0.0829,26,13,10788
2022-09-17,1,250,25.6,1.4,0.0244,20,13,11977
2022-09-18,1,50,27.1,2,0,20,12,12065
2022-09-19,0,20,24.6,3.3,0,20,9,15804
2022-09-20,0,110,19.9,2.3,0,25,7,16042
2022-09-21,0,180,19.4,1.8,0,29,12,15919
2022-09-22,0,50,19.8,2,0,21,9,15644
2022-09-23,0,180,17.5,3.1,0.0187,25,10,14732
2022-09-24,1,270,18.5,1.8,0,18,5,14779
2022-09-25,1,290,19.6,1.6,0,24,10,13604
2022-09-26,0,250,20,1.7,0,26,11,15933
2022-09-27,0,340,20.9,1.6,0,30,14,15775
2022-09-28,0,270,20.4,1.8,0,32,16,15938
2022-09-29,0,250,20.4,1.4,0,70,50,15316
2022-09-30,0,270,20.7,1.6,0,49,32,16140
2022-10-01,1,270,20.9,1.6,0,53,36,13059
2022-10-02,1,50,19.4,2.7,0.0897,33,23,5755
2022-10-03,1,200,21.4,2.7,0.4313,17,9,762
2022-10-04,0,270,17.9,2.9,0.067,16,5,12924
2022-10-05,0,20,16.6,2.1,0.0006,22,8,14921
2022-10-06,0,50,15.8,2.1,0,12,3,14414
2022-10-07,0,20,14.3,2.5,0,12,4,15025
2022-10-08,1,50,15.8,2.5,0,12,4,14373
2022-10-09,1,250,13.1,2.1,0.1158,11,3,1629
2022-10-10,1,270,9.9,3.8,0,10,2,4914
2022-10-11,0,270,11.1,2.2,0,16,7,12796
2022-10-12,0,50,13.5,1.8,0,24,11,14413
2022-10-13,0,70,16.3,1.5,0,22,10,14083
2022-10-14,0,290,17.1,1.6,0,27,14,15008
2022-10-15,1,290,18.2,1.4,0,33,18,12480
2022-10-16,1,290,16.9,1.7,0,38,24,10661
2022-10-17,0,320,11.2,3.4,0,26,9,12511
2022-10-18,0,320,9.4,2.3,0,23,8,12870
2022-10-19,0,340,10.5,1.8,0,24,10,13593
2022-10-20,0,250,12.9,1.8,0,34,17,13470
2022-10-21,0,270,14,1.7,0,47,31,14080
2022-10-22,1,270,15.1,1.9,0,48,33,11639
2022-10-23,1,320,14,2.7,0,36,17,9863
2022-10-24,0,290,10.6,2.8,0,28,10,12295
2022-10-25,0,50,11.3,2,0,20,7,13315
2022-10-26,0,70,12.9,1.9,0,17,6,13632
2022-10-27,0,290,13.2,1.7,0,31,15,13569
2022-10-28,0,270,13.6,1.7,0,43,23,14087
2022-10-29,1,50,14.8,1.8,0,26,15,11436
2022-10-30,1,50,14.9,1.9,0,26,15,9940
2022-10-31,0,140,14.9,2.1,0,25,12,13464
2022-11-01,0,250,13.1,1.8,0,45,29,13569
2022-11-02,0,250,11.1,1.7,0,32,12,13602
2022-11-03,0,320,9.3,2,0,31,13,12269
2022-11-04,0,290,4.9,2.9,0,25,6,10644
2022-11-05,1,320,6.5,1.7,0,27,10,7945
2022-11-06,1,180,9.6,1.8,0,24,11,8346
2022-11-07,0,270,11.4,1.7,0,33,16,12214
2022-11-08,0,320,12.9,1.5,0,46,28,13010
2022-11-09,0,320,11.4,1.5,0,68,45,12945
2022-11-10,0,250,13.5,1.3,0,82,59,13037
2022-11-11,0,70,15.6,1.8,0,56,35,13981
2022-11-12,1,250,16.3,2.2,0.3286,58,35,4710
2022-11-13,1,230,10.3,2.6,0,20,10,6714
2022-11-14,0,230,9.7,2.3,0,24,13,11943
2022-11-15,0,320,8.1,2,0.0091,28,15,10948
2022-11-16,0,290,8.5,1.7,0,33,19,12070
2022-11-17,0,180,10.2,1.6,0,36,17,12420
2022-11-18,0,200,11,1.6,0,45,26,12901
2022-11-19,1,50,12.9,2.3,0,35,17,9717
2022-11-20,1,320,13.7,1.7,0,31,17,9470
2022-11-21,0,320,11.8,1.6,0,43,26,12575
2022-11-22,0,50,10.7,1.9,0,60,39,11982
2022-11-23,0,320,10.8,2.1,0,42,26,12407
2022-11-24,0,270,9.4,1.5,0,50,28,12412
2022-11-25,0,200,12.3,3,0.0096,58,34,12791
2022-11-26,1,320,6.7,3,0,56,16,6481
2022-11-27,1,50,5.4,2.4,0,22,10,6370
2022-11-28,0,50,12.3,2.7,0.1107,30,12,4406
2022-11-29,0,290,6.9,3.5,0.0216,22,8,7576
2022-11-30,0,290,-5.4,3.9,0,23,4,6172
2022-12-01,0,290,-5.4,2.4,0,21,6,6237
2022-12-02,0,50,-2.5,1.7,0,17,6,6973
2022-12-03,1,270,2.1,2.6,0.0062,33,19,4219
2022-12-04,1,290,-3.5,2.8,0,17,5,3309
2022-12-05,0,290,-3.1,2.4,0,19,7,6500
2022-12-06,0,250,0.9,2.4,0.0006,26,13,6549
2022-12-07,0,270,4.9,2.7,0.0006,32,13,7882
2022-12-08,0,290,3.7,1.4,0,27,9,8505
2022-12-09,0,290,4.5,2,0,44,24,8691
2022-12-10,1,290,2.6,1.3,0,38,20,5357
2022-12-11,1,290,1.6,1.8,0,40,23,4451
2022-12-12,0,180,2,1.7,0.0306,32,19,4680
2022-12-13,0,290,0,3.5,0.0034,177,34,4906
2022-12-14,0,320,-8.4,3.2,0,44,9,4607
2022-12-15,0,320,-4.5,2.5,0.0136,33,18,3222
2022-12-16,0,290,-6.3,2,0,29,14,3660
2022-12-17,1,290,-7,2.7,0.0011,26,11,2106
2022-12-18,1,270,-9.5,2.6,0,21,7,1900
2022-12-19,0,290,-7,1.7,0,21,9,4342
2022-12-20,0,50,-3.2,2.2,0,32,19,5626
2022-12-21,0,290,-0.1,2.7,0.0204,57,39,2815
2022-12-22,0,270,-7.8,4.4,0,31,14,3771
2022-12-23,0,290,-11.8,4.3,0,19,10,2990
2022-12-24,1,50,-8.4,1.8,0,27,14,2241
2022-12-25,1,250,-5.4,1.7,0,38,26,2067
2022-12-26,0,50,-3.9,1.4,0,48,35,4636
2022-12-27,0,290,-2.6,1.8,0,49,33,5459
2022-12-28,0,290,-3.3,2.5,0.0006,35,19,4791
2022-12-29,0,290,-2.9,1.7,0,31,17,4981
2022-12-30,0,270,-1.8,1.9,0,39,26,4991
2022-12-31,1,340,-1.2,1.4,0,40,27,3170
