대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2023-01-01,1,-0.2,2.7,270,0.102,53,37,3508
2023-01-02,0,-4.5,2.5,270,0.008,27,13,5106
2023-01-03,0,-5,1.8,270,0.01,31,18,5437
2023-01-04,0,-1.8,1.9,270,0,36,23,6003
2023-01-05,0,-1.6,1.6,20,0,45,34,6114
2023-01-06,0,0.6,2.2,20,0,74,56,5789
2023-01-07,1,1.5,2.2,270,0.003,114,85,3779
2023-01-08,1,1.3,1.7,50,0,127,69,4150
2023-01-09,0,3.1,2.3,290,0,102,47,6658
2023-01-10,0,1.6,1.5,50,0,65,34,7335
2023-01-11,0,2.6,1.6,50,0,77,47,7290
2023-01-12,0,5.9,2.2,70,0,75,48,7811
2023-01-13,0,8.3,2.5,70,0,23,15,1632
2023-01-14,1,6.6,2.5,50,0,10,6,1919
2023-01-15,1,-0.2,2.8,270,0,14,11,1768
2023-01-16,0,-4.6,2.7,270,0,24,14,5517
2023-01-17,0,-3.7,1.8,50,0,32,18,6147
2023-01-18,0,-1.9,2,290,0,54,23,6437
2023-01-19,0,-0.4,2.5,180,0,62,25,6216
2023-01-20,0,-3.3,3.7,270,0,77,21,4826
2023-01-21,1,-4.5,1.8,50,0,24,10,2760
2023-01-22,1,-0.6,2.6,50,0,27,12,1978
2023-01-23,1,-0.8,2.7,290,0,55,28,2987
2023-01-24,1,-14.7,4.6,290,0,29,10,1380
2023-01-25,0,-11.3,2.1,290,0,22,7,3389
2023-01-26,0,-6,2.5,50,0,24,13,1908
2023-01-27,0,-7.3,3.5,290,0,38,14,3322
2023-01-28,1,-6,2.4,250,0,40,13,3257
2023-01-29,1,-1.8,2.6,50,0,42,14,3535
2023-01-30,0,-0.9,2.1,270,0,50,17,5863
2023-01-31,0,2.4,2.7,50,0,38,16,6890
2023-02-01,0,0.9,3.2,290,0,72,37,6507
2023-02-02,0,-2.4,2.5,270,0,49,18,6405
2023-02-03,0,-1.6,2.2,270,0,44,19,6409
2023-02-04,1,-0.2,2,270,0,38,23,5224
2023-02-05,1,1.7,1.8,250,0,62,44,5054
2023-02-06,0,3,1.6,50,0,75,54,7197
2023-02-07,0,3.5,1.5,250,0,80,59,7933
2023-02-08,0,2.1,2.5,270,0,71,51,7783
2023-02-09,0,4,2.5,50,0,39,25,8246
2023-02-10,0,3.8,2.2,290,0,24,18,6474
2023-02-11,1,2.8,1.8,20,0,41,31,6666
2023-02-12,1,3.7,1.8,50,0,66,53,5711
2023-02-13,0,5.9,2.3,50,0,29,20,8434
2023-02-14,0,1.7,2.7,270,0,40,26,8517
2023-02-15,0,3.2,2.5,50,0,18,9,8538
2023-02-16,0,2.3,2.7,230,0,29,18,8000
2023-02-17,0,3.4,1.8,20,0,42,28,8909
2023-02-18,1,5.7,1.5,50,0,74,53,6820
2023-02-19,1,3.5,3.3,270,0,51,33,5367
2023-02-20,0,-0.5,3.3,270,0,42,10,6970
2023-02-21,0,-1.3,2.1,270,0,31,15,7446
2023-02-22,0,1.2,2.2,270,0,43,25,8466
2023-02-23,0,2.9,1.9,270,0,43,24,8885
2023-02-24,0,3.5,3,290,0,54,28,8753
2023-02-25,1,0.7,2.9,290,0.01,42,20,6639
2023-02-26,1,2.2,2.1,290,0,37,20,6549
2023-02-27,0,4.4,1.9,20,0,49,29,9130
2023-02-28,0,4.3,2,270,0.015,37,23,9785
2023-03-01,1,6,3.1,270,0,36,18,7645
2023-03-02,0,2.2,2.8,250,0,62,12,8695
2023-03-03,0,4.6,2.1,270,0,39,14,9898
2023-03-04,1,7.7,1.9,50,0,77,40,9587
2023-03-05,1,8,1.7,270,0,81,50,9264
2023-03-06,0,9.2,2.1,20,0,59,29,11319
2023-03-07,0,11.7,2.3,50,0,63,32,12469
2023-03-08,0,12.5,2,20,0,68,29,12231
2023-03-09,0,10.3,2.3,230,0,65,37,10771
2023-03-10,0,13.5,2.1,50,0,93,48,13314
2023-03-11,1,15.2,2.4,20,0,102,47,12956
2023-03-12,1,5.9,3.7,250,0,59,25,3448
2023-03-13,0,2.9,3.2,230,0,37,9,9567
2023-03-14,0,9.2,2.9,200,0,49,11,12390
2023-03-15,0,8.6,3,200,0,45,12,11677
2023-03-16,0,4.6,2.4,270,0,68,11,11012
2023-03-17,0,7.2,1.7,290,0,49,15,12120
2023-03-18,1,7.7,2.6,270,0,68,27,11556
2023-03-19,1,8.3,2.1,270,0,81,44,11932
2023-03-20,0,9.5,1.6,250,0,82,48,12848
2023-03-21,0,13,1.7,50,0,66,36,14075
2023-03-22,0,17,1.8,50,0,76,39,15209
2023-03-23,0,17.4,2.5,290,0.028,98,30,13986
2023-03-24,0,12.5,2.3,270,0.138,157,28,14291
2023-03-25,1,12.5,2.3,50,0.008,106,24,13978
2023-03-26,1,9.4,3.6,290,0,69,16,12762
2023-03-27,0,7.3,2.3,270,0,52,19,13253
2023-03-28,0,9.2,2.1,20,0,73,25,14514
2023-03-29,0,11.8,1.9,250,0,84,32,15900
2023-03-30,0,13.3,2.2,250,0.007,77,32,16777
2023-03-31,0,15,2.1,250,0,111,47,17881
2023-04-01,1,17.5,1.8,290,0,90,46,19234
2023-04-02,1,18.8,2.4,70,0,50,31,18745
2023-04-03,0,19,2.3,50,0.005,54,34,17840
2023-04-04,0,17.6,2.6,110,0,39,19,13084
2023-04-05,0,11.9,3.4,70,0,17,10,2840
2023-04-06,0,8.8,2.5,180,0.007,50,38,6132
2023-04-07,0,8.9,2.9,230,0,99,50,13306
2023-04-08,1,8.8,3.2,250,0,38,7,12870
2023-04-09,1,10.8,2.5,200,0,61,13,12996
2023-04-10,0,13.2,2.7,200,0,51,18,15691
2023-04-11,0,13.1,3.6,230,0,54,20,10071
2023-04-12,0,10.1,2.7,250,0,299,38,13468
2023-04-13,0,11.9,1.8,50,0,207,30,14120
2023-04-14,0,16.2,1.6,180,0,107,22,16031
2023-04-15,1,13.5,2.2,250,0,64,20,9687
2023-04-16,1,10.8,2.5,250,0.003,111,30,11207
2023-04-17,0,13.1,2,50,0.089,110,30,15000
2023-04-18,0,14,2.7,50,0.002,50,18,9507
2023-04-19,0,19.1,2.4,70,0,37,14,17226
2023-04-20,0,15.8,2.4,270,0,33,15,14876
2023-04-21,0,16.7,2.5,320,0,59,15,16701
2023-04-22,1,16.9,2.6,50,0,62,11,15644
2023-04-23,1,16.1,2.1,50,0.054,59,15,13934
2023-04-24,0,15.8,2.7,70,0.174,54,15,15743
2023-04-25,0,10.9,1.9,50,0,35,16,8007
2023-04-26,0,10.2,3.1,200,0,32,14,13834
2023-04-27,0,12.9,1.9,270,0,40,21,15988
2023-04-28,0,15.7,2.1,230,0,39,17,15510
2023-04-29,1,13.2,2.9,250,0,27,13,4637
2023-04-30,1,12.7,3.3,250,0,37,14,11488
2023-05-01,0,14.6,2.5,270,0,45,18,16348
2023-05-02,0,16.7,2.1,70,0,37,15,16261
2023-05-03,0,19.5,2.1,290,0,46,19,17908
2023-05-04,0,21.4,2.1,110,0,48,24,16157
2023-05-05,1,18.4,2.5,50,0,12,5,1747
2023-05-06,1,12.6,5.4,70,0.013,12,6,3058
2023-05-07,1,14.4,2.6,70,0,37,28,11372
2023-05-08,0,15.3,2.2,270,0,39,25,15789
2023-05-09,0,17,2.3,270,0,51,28,16861
2023-05-10,0,18.4,1.8,290,0.031,54,29,17182
2023-05-11,0,19.5,2.3,270,0,53,27,17335
2023-05-12,0,18.4,1.8,270,0,57,32,17674
2023-05-13,1,17.8,2,290,0,43,24,15968
2023-05-14,1,18.1,2,270,0.002,25,13,15659
2023-05-15,0,20.6,2.4,230,0.085,43,24,17385
2023-05-16,0,24,2.5,200,0.146,59,33,17348
2023-05-17,0,23.5,3.4,230,0.018,42,18,17586
2023-05-18,0,21.2,2.1,50,0,38,20,15291
2023-05-19,0,22.3,2.3,50,0,23,13,18503
2023-05-20,1,21.2,3,50,0,26,15,16565
2023-05-21,1,17.8,3,230,0,84,24,14584
2023-05-22,0,20.3,1.9,270,0,126,30,13296
2023-05-23,0,20.5,2.2,270,0,69,17,18142
2023-05-24,0,20.6,2,270,0,44,19,18514
2023-05-25,0,21.2,2.4,270,0,38,15,18171
2023-05-26,0,21.4,2.1,270,0,34,13,18434
2023-05-27,1,19.3,1.7,50,0,32,17,3074
2023-05-28,1,19.2,1.8,50,0.008,11,6,402
2023-05-29,1,23.2,1.6,50,0,12,6,13707
2023-05-30,0,24,2.2,50,0.046,38,17,16828
2023-05-31,0,22.8,2.5,50,0,29,13,17625
2023-06-01,0,22.8,1.9,290,0,45,28,17897
2023-06-02,0,20.4,2.3,250,0,35,20,18448
2023-06-03,1,22,2.7,270,0,35,16,16542
2023-06-04,1,22.1,2.4,250,0,37,19,15064
2023-06-05,0,21.5,2.6,250,0,35,16,16994
2023-06-06,1,20.3,2.6,270,0,21,10,15998
2023-06-07,0,21.4,2.1,160,0,37,21,17257
2023-06-08,0,20.4,2.4,270,0.029,23,11,15117
2023-06-09,0,23.3,2,250,0.125,25,13,17619
2023-06-10,1,23.2,2.3,200,0,38,21,14650
2023-06-11,1,22.1,2.2,50,0,20,13,12671
2023-06-12,0,22.2,1.7,270,0,27,16,15811
2023-06-13,0,22,2.2,270,0,29,18,17893
2023-06-14,0,20.6,1.5,270,0.127,30,19,17437
2023-06-15,0,22.7,2.1,270,0.01,35,22,17727
2023-06-16,0,23.7,2.1,250,0,29,19,18092
2023-06-17,1,24.2,2,270,0.166,30,17,15634
2023-06-18,1,25.9,2,270,0.002,31,18,13133
2023-06-19,0,28.5,2.2,50,0,49,32,15469
2023-06-20,0,24.7,1.9,70,0,39,22,14530
2023-06-21,0,20.5,2.1,50,0,12,6,6525
2023-06-22,0,22.5,2.2,250,0.159,20,8,15943
2023-06-23,0,24.4,1.5,270,0,34,22,17608
2023-06-24,1,26.4,2,270,0,40,27,14533
2023-06-25,1,28.2,2.1,140,0,34,25,12419
2023-06-26,0,24.2,2.9,200,0.018,17,9,4743
2023-06-27,0,25.3,3.2,230,0.341,20,10,15669
2023-06-28,0,26.5,2.5,230,0,28,18,15911
2023-06-29,0,24.2,2.3,200,0.272,30,18,3743
2023-06-30,0,25.3,1.8,250,0.257,32,24,13810
